DATE | TIME,PET,MEDICATION,DOSAGE
04-21-2020 07:52 PM,Oliver,carprofen,0.472ml
04-21-2020 07:53 PM,Zoe,acepromazine,0.014ml
04-21-2020 07:53 PM,Smokey,carprofen,0.113ml
04-21-2020 07:53 PM,Smokey,acepromazine,0.001ml
04-21-2020 07:53 PM,Luna,carprofen,0.123ml
04-21-2020 07:54 PM,Arwen,carprofen,0.104ml
04-21-2020 07:54 PM,Arwen,acepromazine,0.001ml
04-23-2020 09:58 AM,Smokey,carprofen,0.113ml
04-23-2020 09:59 AM,Oliver,carprofen,0.472ml
04-23-2020 09:59 AM,Oliver,acepromazine,0.034ml
04-23-2020 10:06 AM,Oliver,carprofen,0.472ml
01/27/2022 11:16 PM,Arwen,carprofen,0.047ml
01/27/2022 11:20 PM,Arwen,carprofen,0.047ml
